變數命名可讀性審查（風格層級）與重複定義/未使用清單

====================
A) Rust — 變數重複定義（shadowing / 命名重疊）
| 檔案 | 行號 | 變數 | 類型 | 建議 |
|---|---:|---|---|---|
| X:\D\MCTEST\mc_translator_rs\src\config\dictionary.rs | 68 → 80 | path | shadowing | 第二個 path 改名為 cleanup_path 或直接重用原變數 |
| X:\D\MCTEST\mc_translator_rs\src\config\dictionary.rs | 88 → 100 | path | shadowing | 第二個 path 改名為 cleanup_path 或直接重用原變數 |
| X:\D\MCTEST\mc_translator_rs\src\file\pack_gen.rs | 191 → 192 | entry | shadowing | for entry in ... 改成 for dir_entry in ... { let entry = dir_entry.unwrap(); } |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 139 → 141 | tasks | shadowing | 改名 jar_tasks（或直接不再重新綁定） |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 139 → 142 | items | shadowing | 改名 jar_items |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 210 → 221 | result | shadowing | 改名 provider_result / cleaned_result |
| X:\D\MCTEST\mc_translator_rs\src\translation\api\client.rs | 391 → 399 | v | shadowing | closure 參數改名 val 或 node |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 189 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 262 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\batching.rs | 126 → 313 | already_done | shadowing | 內層改名 batch_already_done |
| X:\D\MCTEST\mc_translator_rs\src\translation\pipeline.rs | 68 → 84 | input_paths | shadowing | 改名 expanded_input_paths 或只保留一個變數 |
| X:\D\MCTEST\mc_translator_rs\src\utils\text_processing.rs | 77 → 80 | v | shadowing | closure 參數改名 val |
| X:\D\MCTEST\mc_translator_rs\src\utils\text_processing.rs | 77 → 88 | v | shadowing | closure 參數改名 val |
| X:\D\MCTEST\mc_translator_rs\src\utils\helpers.rs | 131 → 140 | entries | shadowing | 測試中第二個改名 entries_after_clear |
| X:\D\MCTEST\mc_translator_rs\src\cli\main.rs | 500 → 501 | filled | shadowing | 改名 filled_raw / filled_clamped |

B) JS — 未使用變數
| 檔案 | 行號 | 變數 | 類型 | 建議 |
|---|---:|---|---|---|
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 15 | utilsModule | 未使用 | 移除宣告或補上實際使用 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 16 | i18nModule | 未使用 | 同上 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\config.test.js | 97 | args | 未使用 | 若是測試用參數，改用 _args 或直接移除 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\dictionary.test.js | 13 | utilsModule | 未使用 | 移除或使用 |

C) Rust/JS 未使用變數（其他）
- Rust cargo check 未報告未使用變數。
- frontend/**/*.js lint 無未使用變數警告。

====================
D) 命名可讀性審查（風格層級）

Rust
| 檔案 | 行號 | 原名稱 | 問題描述 | 建議新名稱 | 影響範圍 |
| X:\D\MCTEST\mc_translator_rs\src\utils\skip_rules.rs | 51 | s | trimmed 值語意不明 | trimmed / trimmed_val | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\utils\text_processing.rs | 11 | s | 清理後文字語意不明 | cleaned / result | 函式內 |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 91 | s | status 字串語意不明 | status_text | 作用域內 |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 159 | p | path 內容語意不明 | current_path | 區塊內 |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 191 | t | task 語意不明 | task | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\src\file\pipeline.rs | 395 | c | content 語意不明 | content / original_content | 區塊內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\engine.rs | 136 | c | counter guard 語意不明 | counter_guard | 區塊內 |
| X:\D\MCTEST\mc_translator_rs\src\translation\engine.rs | 251 | c | counter guard 語意不明 | counter_guard | 區塊內 |
| X:\D\MCTEST\mc_translator_rs\src-tauri\src\commands.rs | 401 | p | path 語意不明 | selected_path / os_path | 函式內 |
| X:\D\MCTEST\mc_translator_rs\tests\verify_ancient.rs | 48 | id | 相對檔案 id 語意不明 | rel_file_id | 迴圈內 |

JS
| 檔案 | 行號 | 原名稱 | 問題描述 | 建議新名稱 | 影響範圍 |
|---|---:|---|---|---|---|
| X:\D\MCTEST\mc_translator_rs\frontend\main.js | 95 | el | 多處重用，語意不清 | inputEl | callback 內 |
| X:\D\MCTEST\mc_translator_rs\frontend\main.js | 101 | el | 同上 | inputEl | callback 內 |
| X:\D\MCTEST\mc_translator_rs\frontend\main.js | 115 | el | 同上 | selectEl | callback 內 |
| X:\D\MCTEST\mc_translator_rs\frontend\main.js | 128 | el | 同上 | selectEl | callback 內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\dictionary.js | 169 | k | key 語意過短 | dictKey | 事件處理內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\dictionary.js | 170 | v | value 語意過短 | dictValue | 事件處理內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\dictionary.js | 243 | p | path 語意過短 | exportPath | 事件處理內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\i18n.js | 209 | el | 泛用名稱 | toggleEl | callback 內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 80 | el | 泛用名稱 | targetEl | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 90 | bg | 縮寫 | backgroundColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 91 | txt | 縮寫 | textColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 92 | btnBg | 縮寫 | buttonBgColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 93 | btnTxt | 縮寫 | buttonTextColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 94 | inputBg | 縮寫 | inputBgColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 95 | listBg | 縮寫 | listBgColor | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 96 | tabActive | 可更清楚 | activeTabBg | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 97 | tabInactive | 可更清楚 | inactiveTabBg | 函式內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\style.js | 140 | el | 泛用名稱 | targetEl | 迴圈內 |
| X:\D\MCTEST\mc_translator_rs\frontend\modules\utils.js | 26 | p | 元素語意不明 | logEntryEl | 函式內 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\utils.test.js | 74 | p | 元素語意不明 | logEntryEl | 測試內 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\utils.test.js | 82 | p | 元素語意不明 | logEntryEl | 測試內 |
| X:\D\MCTEST\mc_translator_rs\tests\frontend\i18n.test.js | 104 | el | 元素語意不明 | labelEl | 測試內 |
